pollster,start_date,end_date,sample_size,sample_type,rep,dem,other,election_year,state,overlapping_special_election,dem_actual,rep_actual,other_actual,rep_won
Reuters/Zogby,2006/10/24,2006/10/31,6000,LV,8,37,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Research 2000,2006/10/30,2006/11/01,6000,LV,7,39,51,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/11/02,2006/11/04,6520,LV,9,38,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/31,2006/11/05,6760,LV,8,38,50,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2005/04/27,2005/04/27,5000,LV,,20,47,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/04/25,2006/04/30,15360,RV,10,13,56,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/05/31,2006/06/06,21140,RV,8,18,56,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/06/12,2006/06/12,5000,LV,15,29,44,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/07/13,2006/07/18,25020,RV,9,27,51,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/07/20,2006/07/20,10000,LV,13,40,40,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/08/09,2006/08/10,5000,LV,6,41,46,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/08/10,2006/08/14,10830,LV,4,41,53,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/08/15,2006/08/21,5330,LV,2,39,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/08/17,2006/08/21,7900,LV,3,42,44,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/08/21,2006/08/21,5500,LV,6,43,45,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Pub Op Str (R),2006/08/27,2006/08/29,6000,LV,4,35,51,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/08/29,2006/09/05,5310,LV,3,42,46,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/09/09,2006/09/11,5720,LV,7,38,51,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/09/13,2006/09/14,5500,LV,5,43,45,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/09/15,2006/09/19,6000,LV,3,45,47,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/09/19,2006/09/25,5500,LV,4,44,46,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/09/21,2006/09/25,11810,LV,5,39,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Reuters/Zogby,2006/09/25,2006/10/02,6010,LV,4,33,53,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/10/03,2006/10/03,5500,LV,6,40,51,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Univ. of Connecticut,2006/10/04,2006/10/09,6370,LV,4,40,48,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
SurveyUSA,2006/10/08,2006/10/10,5720,LV,4,40,53,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive *,2006/10/10,2006/10/16,5310,LV,4,43,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/17,2006/10/19,8810,LV,6,35,52,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
American Res. Group,2006/10/18,2006/10/20,6000,LV,8,37,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Zogby Interactive*,2006/10/23,2006/10/27,,LV,6,43,47,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Rasmussen,2006/10/28,2006/10/28,5000,LV,9,40,48,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
Quinnipiac,2006/10/24,2006/10/30,9260,LV,8,37,49,2006,connecticut,,39.729744258123,9.62285982179759,50.6473959200795,0
