"state","day","rep_estimate","dem_estimate","other_estimate"
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-08-31,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-01,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-02,NA,NA,NA
"",2005-09-03,NA,NA,NA
"",2005-09-03,NA,NA,NA
