"state","day","rep_estimate","dem_estimate","other_estimate"
"arizona",2023-08-30,49.06,49.36,1.58
"arizona",2023-08-31,49.06,49.36,1.58
"arizona",2023-09-01,49.06,49.36,1.58
"arizona",2023-09-02,49.06,49.36,1.58
"arizona",2023-09-03,49.06,49.36,1.58
"arizona",2023-09-04,49.06,49.36,1.58
"arizona",2023-09-05,49.06,49.36,1.58
"arizona",2023-09-06,49.06,49.36,1.58
"arizona",2023-09-07,49.06,49.36,1.58
"arizona",2023-09-08,49.06,49.36,1.58
"arizona",2023-09-09,49.06,49.36,1.58
"arizona",2023-09-10,49.06,49.36,1.58
"arizona",2023-09-11,49.06,49.36,1.58
"arizona",2023-09-12,49.06,49.36,1.58
"arizona",2023-09-13,49.06,49.36,1.58
"arizona",2023-09-14,49.06,49.36,1.58
"arizona",2023-09-15,49.06,49.36,1.58
"arizona",2023-09-16,49.06,49.36,1.58
"arizona",2023-09-17,49.06,49.36,1.58
"arizona",2023-09-18,49.06,49.36,1.58
"arizona",2023-09-19,49.06,49.36,1.58
"arizona",2023-09-20,49.06,49.36,1.58
"arizona",2023-09-21,49.06,49.36,1.58
"arizona",2023-09-22,49.06,49.36,1.58
"arizona",2023-09-23,49.06,49.36,1.58
"arizona",2023-09-24,49.06,49.36,1.58
"arizona",2023-09-25,49.06,49.36,1.58
"arizona",2023-09-26,49.06,49.36,1.58
"arizona",2023-09-27,49.06,49.36,1.58
"arizona",2023-09-28,49.06,49.36,1.58
"arizona",2023-09-29,49.06,49.36,1.58
"arizona",2023-09-30,49.06,49.36,1.58
"arizona",2023-10-01,49.06,49.36,1.58
"arizona",2023-10-02,49.06,49.36,1.58
"arizona",2023-10-03,49.06,49.36,1.58
"arizona",2023-10-04,49.06,49.36,1.58
"arizona",2023-10-05,49.06,49.36,1.58
"arizona",2023-10-06,49.06,49.36,1.58
"arizona",2023-10-07,49.06,49.36,1.58
"arizona",2023-10-08,49.06,49.36,1.58
"arizona",2023-10-09,49.06,49.36,1.58
"arizona",2023-10-10,49.06,49.36,1.58
"arizona",2023-10-11,49.06,49.36,1.58
"arizona",2023-10-12,49.06,49.36,1.58
"arizona",2023-10-13,49.06,49.36,1.58
"arizona",2023-10-14,49.06,49.36,1.58
"arizona",2023-10-15,49.06,49.36,1.58
"arizona",2023-10-16,49.06,49.36,1.58
"arizona",2023-10-17,49.06,49.36,1.58
"arizona",2023-10-18,49.06,49.36,1.58
"arizona",2023-10-19,49.06,49.36,1.58
"arizona",2023-10-20,49.06,49.36,1.58
"arizona",2023-10-21,49.06,49.36,1.58
"arizona",2023-10-22,49.06,49.36,1.58
"arizona",2023-10-23,49.06,49.36,1.58
"arizona",2023-10-24,49.06,49.36,1.58
"arizona",2023-10-25,49.06,49.36,1.58
"arizona",2023-10-26,49.06,49.36,1.58
"arizona",2023-10-27,49.06,49.36,1.58
"arizona",2023-10-28,49.06,49.36,1.58
"arizona",2023-10-29,49.06,49.36,1.58
"arizona",2023-10-30,49.06,49.36,1.58
"arizona",2023-10-31,49.06,49.36,1.58
"arizona",2023-11-01,49.06,49.36,1.58
"arizona",2023-11-02,49.06,49.36,1.58
"arizona",2023-11-03,49.06,49.36,1.58
"arizona",2023-11-04,49.06,49.36,1.58
"arizona",2023-11-05,49.06,49.36,1.58
"arizona",2023-11-06,49.06,49.36,1.58
"arizona",2023-11-07,49.06,49.36,1.58
"arizona",2023-11-08,49.06,49.36,1.58
"arizona",2023-11-09,49.06,49.36,1.58
"arizona",2023-11-10,49.06,49.36,1.58
"arizona",2023-11-11,49.06,49.36,1.58
"arizona",2023-11-12,49.06,49.36,1.58
"arizona",2023-11-13,49.06,49.36,1.58
"arizona",2023-11-14,49.06,49.36,1.58
"arizona",2023-11-15,49.06,49.36,1.58
"arizona",2023-11-16,49.06,49.36,1.58
"arizona",2023-11-17,49.06,49.36,1.58
"arizona",2023-11-18,49.06,49.36,1.58
"arizona",2023-11-19,49.06,49.36,1.58
"arizona",2023-11-20,49.06,49.36,1.58
"arizona",2023-11-21,49.06,49.36,1.58
"arizona",2023-11-22,49.06,49.36,1.58
"arizona",2023-11-23,49.06,49.36,1.58
"arizona",2023-11-24,49.06,49.36,1.58
"arizona",2023-11-25,49.06,49.36,1.58
"arizona",2023-11-26,49.06,49.36,1.58
