year,state,candidate,candidatevotes,total_votes,party_simplified
1976,AZ,SAM STEIGER,321236,741210,REPUBLICAN
1976,AZ,WM. MATHEWS FEIGHAN,1565,741210,OTHER
1976,AZ,DENNIS DECONCINI,400334,741210,DEMOCRAT
1976,AZ,ALLAN NORWITZ,7310,741210,LIBERTARIAN
1976,AZ,BOB FIELD,10765,741210,OTHER
1976,CA,JACK MCCOY,82739,7470586,OTHER
1976,CA,S. I. (SAM) HAYAKAWA,3748973,7470586,REPUBLICAN
1976,CA,JOHN V. TUNNEY,3502862,7470586,DEMOCRAT
1976,CA,OMARI MUSA,31629,7470586,OTHER
1976,CA,DAVID WALD,104383,7470586,OTHER
1976,CT,"LOWELL P. WEICKER, JR.",785683,1361666,REPUBLICAN
1976,CT,SCATTER,558,1361666,OTHER
1976,CT,ROBERT BARNABEI,14407,1361666,OTHER
1976,CT,GLORIA SCHAFFER,561018,1361666,DEMOCRAT
1976,DE,THOMAS C. MALONEY,98042,224795,DEMOCRAT
1976,DE,"WILLIAM V. ROTH, JR.",125454,224795,REPUBLICAN
1976,DE,DONALD G. GIES,646,224795,OTHER
1976,DE,JOHN A. MASSIMILLA,216,224795,OTHER
1976,DE,JOSEPH F. MCINERNEY,437,224795,OTHER
1976,FL,LAWTON CHILES,1799518,2857534,DEMOCRAT
1976,FL,SCATTER,130,2857534,OTHER
1976,FL,JOHN GRADY,1057886,2857534,REPUBLICAN
1976,HI,SPARK M. MATSUNAGA,162305,302092,DEMOCRAT
1976,HI,JAMES D. KIMMEL,1433,302092,OTHER
1976,HI,WILLIAM QUINN,122724,302092,REPUBLICAN
1976,HI,ANTHONY N. HODGES,14226,302092,OTHER
1976,HI,ROCKNE JOHNSON,1404,302092,LIBERTARIAN
1976,IN,RICHARD G. LUGAR,1275833,2161187,REPUBLICAN
1976,IN,VANCE HARTKE,868522,2161187,DEMOCRAT
1976,IN,DON L. LEE,14321,2161187,OTHER
1976,IN,DAVID LEE HOAGLAND,2511,2161187,OTHER
1976,ME,ROBERT A. G. MONKS,193489,486193,REPUBLICAN
1976,ME,EDMUND S. MUSKIE,292704,486193,DEMOCRAT
1976,MD,"J. GLENN BEALL, JR.",530439,1365290,REPUBLICAN
