state,dem_prior,rep_prior
OR,55.27,40.97
AK,41.41,54.54
ID,30.38,66.87
MT,44.99,55.01
WY,25.84,71.6
CO,54.13,43.14
NM,51.85,45.85
SD,34.24,63.43
NE,38.86,59.32
KS,41.04,57.16
OK,31.9,66.16
TX,44.56,53.05
MN,56.2,40.5
IA,42.52,55.73
AR,33.56,64.2
LA,38.21,60.22
IL,54.37,43.47
TN,34.47,64.19
MS,38,60.89
KY,33.94,64.47
MI,48.31,49.73
OH,43.93,55.14
WV,28.1,69.97
VA,51.83,46.05
NC,47.65,50.86
SC,40.36,58.23
GA,50.61,49.39
AL,34.1,64.57
FL,42.99,56.09
ME,52.4,45.46
NH,56.63,40.99
MA,61.22,36.02
RI,55.54,41.76
NJ,51.97,46.06
DE,56.49,41.79
